#OTU ID,AC-GL3-0-2-1,AC-GL3-0-2-14,AC-GL3-0-2-18,AC-GL3-0-2-19,AC-GL3-0-2-3,AC-GL3-0-2-4,AC-GL3-0-2-6,AC-GL3-0-2-7,AC-GL3-0-2-9,AC-GL3-2-7-1,AC-GL3-2-7-14,AC-GL3-2-7-18,AC-GL3-2-7-19,AC-GL3-2-7-3,AC-GL3-2-7-4,AC-GL3-2-7-6,AC-GL3-2-7-7,AC-GL3-2-7-9,AC-GL4-102,AC-GL4-102C,AC-GL4-50,AC-GL4-50C,AC-GL4-54C,AC-GL4-60,AC-GL4-60C,AC-GL4-61,AC-GL4-61C,AC-GL4-69,AC-GL4-69C,AC-GL4-70,AC-GL4-70C,AC-GL4-71,AC-GL4-71C,AC-GL4-73,AC-GL4-73C
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Micrococcales;D_4__Microbacteriaceae;D_5__uncultured;__,6,0,0,20,0,10,0,0,0,8,0,0,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,10,0,17,0
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Micrococcales;D_4__Microbacteriaceae;__;__,0,0,0,0,0,0,0,0,0,26,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__Micrococcales;D_4__Micrococcaceae;__;__,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,0,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__PeM15;Ambiguous_taxa;Ambiguous_taxa;Ambiguous_taxa,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__PeM15;D_4__uncultured bacterium;D_5__uncultured bacterium;D_6__uncultured bacterium,8,0,0,0,0,17,0,0,0,0,0,0,0,0,8,0,0,0,29,9,0,0,0,0,0,0,0,0,0,0,0,29,3,28,0
D_0__Bacteria;D_1__Actinobacteria;D_2__Actinobacteria;D_3__PeM15;__;__;__,21,68,0,0,0,0,0,39,0,23,15,0,10,0,0,0,10,6,0,0,5,0,0,11,0,0,0,11,0,0,0,0,0,0,0
D_0__Bacteria;D_1__Actinobacteria;D_2__Thermoleophilia;D_3__Gaiellales;D_4__uncultured;D_5__metagenome;D_6__metagenome,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,5,0,0,6,0,34,7
D_0__Bacteria;D_1__Actinobacteria;D_2__Thermoleophilia;D_3__Solirubrobacterales;D_4__Solirubrobacteraceae;D_5__Conexibacter;D_6__uncultured bacterium,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,3,11,9,0,0,0,0,0,0
D_0__Bacteria;D_1__Actinobacteria;D_2__WCHB1-81;D_3__uncultured bacterium;D_4__uncultured bacterium;D_5__uncultured bacterium;D_6__uncultured bacterium,9,0,29,0,65,0,0,0,0,0,0,16,0,92,0,0,0,0,0,0,0,12,0,5,0,5,17,0,0,0,4,0,0,0,2
D_0__Bacteria;D_1__Aegiribacteria;D_2__uncultured bacterium;D_3__uncultured bacterium;D_4__uncultured bacterium;D_5__uncultured bacterium;D_6__uncultured bacterium,0,0,0,0,0,0,0,0,0,0,0,0,0,9,0,0,0,0,0,0,4,5,0,0,0,0,17,0,0,0,0,0,0,0,0
